Memory , Time
24,0.000003
8216,0.000035
16408,0.000054
24600,0.000073
32792,0.000093
40984,0.000113
49176,0.000133
57368,0.000157
65560,0.000172
73752,0.000193
81944,0.000212
90136,0.000233
98328,0.000253
106520,0.000274
114712,0.000296
122904,0.000316
131096,0.000169
139288,0.000178
147480,0.000188
155672,0.000198
163864,0.000209
172056,0.000219
180248,0.000228
188440,0.000237
196632,0.000247
204824,0.000257
213016,0.000268
221208,0.000278
229400,0.000289
237592,0.000297
245784,0.000307
253976,0.000324
262168,0.000327
270360,0.000338
278552,0.000349
286744,0.000439
294936,0.000426
303128,0.000396
311320,0.000394
319512,0.000439
327704,0.000516
335896,0.000530
344088,0.000520
352280,0.000442
360472,0.000473
368664,0.000458
376856,0.000471
385048,0.000478
393240,0.000503
401432,0.000401
409624,0.000407
417816,0.000415
426008,0.000422
434200,0.000431
442392,0.000439
450584,0.000447
458776,0.000456
466968,0.000469
475160,0.000470
483352,0.000479
491544,0.000486
499736,0.000494
507928,0.000504
516120,0.000513
524312,0.000521
532504,0.000532
540696,0.000554
548888,0.000666
557080,0.000566
565272,0.000593
573464,0.000593
581656,0.000573
589848,0.000631
598040,0.000722
606232,0.000692
614424,0.000660
622616,0.000637
630808,0.000629
639000,0.000642
647192,0.000641
655384,0.000650
663576,0.000656
671768,0.000664
679960,0.000672
688152,0.000685
696344,0.000688
704536,0.000695
712728,0.000704
720920,0.000711
729112,0.000719
737304,0.000733
745496,0.000738
753688,0.000744
761880,0.000751
770072,0.000760
778264,0.000774
786456,0.000774
794648,0.000784
802840,0.000793
811032,0.000807
819224,0.000811
827416,0.000818
835608,0.000824
843800,0.000832
851992,0.000840
860184,0.000853
868376,0.000856
876568,0.000864
884760,0.000871
892952,0.000883
901144,0.000977
909336,0.000968
917528,0.000978
925720,0.001089
933912,0.001079
942104,0.000958
950296,0.000939
958488,0.000978
966680,0.000952
974872,0.000962
983064,0.000969
991256,0.000979
999448,0.000985
1007640,0.000992
1015832,0.001001
1024024,0.001012
1032216,0.001020
1040408,0.001024
1048600,0.001031
1056792,0.001044
1064984,0.001050
1073176,0.001057
1081368,0.001066
1089560,0.001083
1097752,0.001080
1105944,0.001088
1114136,0.001266
1122328,0.001128
1130520,0.001113
1138712,0.001119
1146904,0.001137
1155096,0.001251
1163288,0.001296
1171480,0.001438
1179672,0.001305
1187864,0.001174
1196056,0.001185
1204248,0.001214
1212440,0.001194
1220632,0.001205
1228824,0.001209
1237016,0.001217
1245208,0.001224
1253400,0.001236
1261592,0.001245
1269784,0.001249
1277976,0.001259
1286168,0.001267
1294360,0.001273
1302552,0.001285
1310744,0.001296
1318936,0.001300
1327128,0.001310
1335320,0.001315
1343512,0.001323
1351704,0.001335
1359896,0.001507
1368088,0.001560
1376280,0.001647
1384472,0.001373
1392664,0.001386
1400856,0.001380
1409048,0.001415
1417240,0.001408
1425432,0.001405
1433624,0.001415
1441816,0.001425
1450008,0.001428
1458200,0.001436
1466392,0.001450
1474584,0.001454
1482776,0.001462
1490968,0.001473
1499160,0.001478
1507352,0.001495
1515544,0.001495
1523736,0.001501
1531928,0.001517
1540120,0.001703
1548312,0.001931
1556504,0.001731
1564696,0.001549
1572888,0.001559
1581080,0.001559
1589272,0.001601
1597464,0.001581
1605656,0.001583
1613848,0.001598
1622040,0.001598
1630232,0.001612
1638424,0.001614
1646616,0.001629
1654808,0.001640
1663000,0.001642
1671192,0.001659
1679384,0.001659
1687576,0.001667
1695768,0.001869
1703960,0.002052
1712152,0.001955
1720344,0.001705
1728536,0.001714
1736728,0.001718
1744920,0.001728
1753112,0.001757
1761304,0.001740
1769496,0.001744
1777688,0.001762
1785880,0.001767
1794072,0.001770
1802264,0.001780
1810456,0.001785
1818648,0.001795
1826840,0.001811
1835032,0.001872
1843224,0.002012
1851416,0.002288
1859608,0.001878
1867800,0.001850
1875992,0.001851
1884184,0.001864
1892376,0.001867
1900568,0.001911
1908760,0.001885
1916952,0.001901
1925144,0.001900
1933336,0.001910
1941528,0.001913
1949720,0.001924
1957912,0.001934
1966104,0.001947
1974296,0.001973
1982488,0.002404
1990680,0.002306
1998872,0.001989
